image,name,new-price,old-price
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/141501/1.jpg?2116,Astech Téléviseur Smart TV LED 32 Pouces Full HD,99 900 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/141501/1.jpg?8475,Astech TV LED - 43 Pouces - Full HD - 43OG14 - Noir,122 400 FCFA,150 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/755701/1.jpg?5033,SMART TECHNOLOGY Home Cinéma STH-288 - DVD - VCD - CD - DVD-9 - MP3 - MPEG - Garantie 6 mois,58 900 FCFA,120 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/975511/1.jpg?9375,Itel Smart TV 43 Pouces - L4350 - DLED HD TV Avec Protection De Survoltage - Noir,125 700 FCFA,180 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?1763,Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,98 500 FCFA,129 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/99599/1.jpg?9679,Hisense Barre De Son 2.0CH - 60W - HS205 - Noir - Garantie 12 mois,38 500 FCFA,60 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/72089/1.jpg?4544,SMART TECHNOLOGY Système Audio avec Haut-parleur multimédia STHB-9917M - Radio FM - Port USB - Port Carte Mémoire,38 350 FCFA,43 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/134501/1.jpg?3603,Astech Téléviseur Smart 50 pouces - 50SM10,218 100 FCFA,250 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0011/1.jpg?2954,Toshiba Téléviseur LED TV 32 Pouces - Toshiba - HD - 32S25 -  Noir,69 900 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/12606/1.jpg?7536,Generic Android 10.1 TV Box 4K 4Go 64Go USB 3.0 [Dernière Version] - Noir,20 500 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/06888/1.jpg?5363,SMART TECHNOLOGY Régulateur De Tension Automatique - AVR-2000Va - Inverter - Noir/Rouge - Garantie 12 mois,19 500 FCFA,35 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/99599/1.jpg?0262,Hisense Smart TV LED 43 Pouces - 43A6600FS - Full HD - Android - Noir - Garantie 12 mois,169 900 FCFA,230 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?9281,LIVONA Téléviseur LED 32 pouces - HD - Noir,59 900 FCFA,80 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/134501/1.jpg?7920,Astech Téléviseur LED 32 Pouces - HD - 32OG14 - Noir,68 100 FCFA,90 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/141501/1.jpg?8475,Astech TV LED - 43 Pouces - Full HD - 43OG14 - Noir,122 400 FCFA,150 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/52579/1.jpg?0857,SMART TECHNOLOGY TV LED 32 Pouces  - STT-5032 - Full HD - Noir - Garantie 12 Mois,71 500 FCFA,130 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/70799/1.jpg?1773,Haier Smart TV LED 32 Pouces – Noir – Garantie 12 Mois,134 900 FCFA,142 254 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?9281,LIVONA Téléviseur LED 32 pouces - HD - Noir,59 900 FCFA,80 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/02374/1.jpg?2309,"Aiwa Téléviseur LED - Ecran 40"" - TV 40 M7 JH40DT700S - HDMI x 3 - Noir",99 900 FCFA,103 990 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/68912/1.jpg?6489,"Aiwa Téléviseur LED - Ecran 32"" - L/H 78 x 11 x 50 cm - HDMI x 2 USB x 2 - Noir",67 900 FCFA,150 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0011/1.jpg?2954,Toshiba Téléviseur LED TV 32 Pouces - Toshiba - HD - 32S25 -  Noir,69 900 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?1763,Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,98 500 FCFA,129 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/141501/1.jpg?2116,Astech Téléviseur Smart TV LED 32 Pouces Full HD,99 900 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/141501/1.jpg?8475,Astech TV LED - 43 Pouces - Full HD - 43OG14 - Noir,122 400 FCFA,150 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/755701/1.jpg?5033,SMART TECHNOLOGY Home Cinéma STH-288 - DVD - VCD - CD - DVD-9 - MP3 - MPEG - Garantie 6 mois,58 900 FCFA,120 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/975511/1.jpg?9375,Itel Smart TV 43 Pouces - L4350 - DLED HD TV Avec Protection De Survoltage - Noir,125 700 FCFA,180 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?1763,Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,98 500 FCFA,129 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/99599/1.jpg?9679,Hisense Barre De Son 2.0CH - 60W - HS205 - Noir - Garantie 12 mois,38 500 FCFA,60 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/72089/1.jpg?4544,SMART TECHNOLOGY Système Audio avec Haut-parleur multimédia STHB-9917M - Radio FM - Port USB - Port Carte Mémoire,38 350 FCFA,43 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/134501/1.jpg?3603,Astech Téléviseur Smart 50 pouces - 50SM10,218 100 FCFA,250 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0011/1.jpg?2954,Toshiba Téléviseur LED TV 32 Pouces - Toshiba - HD - 32S25 -  Noir,69 900 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/12606/1.jpg?7536,Generic Android 10.1 TV Box 4K 4Go 64Go USB 3.0 [Dernière Version] - Noir,20 500 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/06888/1.jpg?5363,SMART TECHNOLOGY Régulateur De Tension Automatique - AVR-2000Va - Inverter - Noir/Rouge - Garantie 12 mois,19 500 FCFA,35 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/99599/1.jpg?0262,Hisense Smart TV LED 43 Pouces - 43A6600FS - Full HD - Android - Noir - Garantie 12 mois,169 900 FCFA,230 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?9281,LIVONA Téléviseur LED 32 pouces - HD - Noir,59 900 FCFA,80 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/88055/1.jpg?1018,Generic Support Mural TV 26 à 63 pouces-Noir,3 200 FCFA,8 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/62716/1.jpg?5123,Generic Refroidisseur pour Ordinateur Portable 12 à 17.3 Pouces,6 500 FCFA,35 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/923/1.jpg?4015,"Generic Support Universel Mural TV - Pivotant pour 14-27"" - Noir",13 900 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/62739/1.jpg?6731,"Generic Fixation Support TV Mural  LED pour les dimension  - 14""-42'",2 300 FCFA,4 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/53242/1.jpg?7604,TV TÉLÉCOMMANDE ANDROID TV BOX X96,5 000 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/57216/1.jpg?2822,"Generic Support Mural TV pivotant -TV LED ( 14"" a 55"") - Noir",6 320 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/94949/1.jpg?1274,Generic Convertisseur Adaptateur USB 2.0 à Fast Ethernet - Blanc,6 900 FCFA,12 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/42739/1.jpg?4611,"Generic Support Mural TV Orientable -TV LED ( 14"" a 55"") - Noir",5 572 FCFA,7 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/67279/1.jpg?5504,Generic Support TV Mural pour Ecran LCD LED Plasma - 14-42' 35 -107cm jusqu'à 25KG,2 350 FCFA,3 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/09279/1.jpg?1317,"Generic Support Mural TV orientable inclinable -TV LED LCD 32"" /65""",22 900 FCFA,32 900 FCFA
