image,nom,new-price,old-price,url
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/22489/1.jpg?8232,Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Blanc - Reconditionné,159 900 FCFA,229 000 FCFA,www.jumia.sn/apple-iphone-x-4g-lte-5.8-pouces-3go-ram-64go-rom-12-mpx-blanc-reconditionne-9842231.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/60079/1.jpg?9970,"Apple IPhone 6s Plus - 5.5"" - 4G LTE - 64 Go - 2 Go RAM- 12Mpx - Reconditionné -  Gold",96 100 FCFA,150 000 FCFA,www.jumia.sn/apple-iphone-6s-plus-5.5-4g-lte-64-go-2-go-ram-12mpx-reconditionne-gold-9700614.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/015711/1.jpg?1120,Apple iPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go - 12 Mpx - Space Grey - Reconditionné,159 900 FCFA,229 000 FCFA,www.jumia.sn/apple-iphone-x-4g-lte-5.8-pouces-3go-ram-64go-12-mpx-space-grey-reconditionne-11751084.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/78969/1.jpg?7818,"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Gold",138 600 FCFA,189 900 FCFA,www.jumia.sn/apple-iphone-7-plus-5.5-4g-3128go-12mpx-reconditionne-gold-9698758.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/59969/1.jpg?0157,"Apple iPhone 8 Plus - 5.5""- 4GLTE- 64Go ROM - 3Go RAM - 12Mpx - Reconditionné -  Noir",170 500 FCFA,265 000 FCFA,www.jumia.sn/apple-iphone-8-plus-5.5-4glte-64go-rom-3go-ram-12mpx-reconditionne-noir-9699585.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/003711/1.jpg?9851,Apple IPhone 11 – 4G - 12 Mpx – 6.1 Pouce - RAM 4Go - ROM 64Go - Purple,271 600 FCFA,338 000 FCFA,www.jumia.sn/apple-iphone-11-4g-12-mpx-6.1-pouce-ram-4go-rom-64go-purple-11730010.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/38489/1.jpg?2911,"Apple IPhone XR- 6.1""- 12 Mpx- 64 Go- IOS 12- 4G- Jaune",191 800 FCFA,300 000 FCFA,www.jumia.sn/apple-iphone-xr-6.1-12-mpx-64-go-ios-12-4g-jaune-9848369.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/142001/1.jpg?6928,"Apple Phone Xs – 5.8"" - 4G - 64Go - RAM 4Go - 12Mpx - ID Face - Gold",191 800 FCFA,355 000 FCFA,www.jumia.sn/apple-phone-xs-5.8-4g-64go-ram-4go-12mpx-id-face-gold-10024198.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/35489/1.jpg?3434,Apple IPhone 11 – 4G - 12 Mpx – 6.1’’- 4/64 Go - Vert,271 600 FCFA,338 000 FCFA,www.jumia.sn/apple-iphone-11-4g-12-mpx-6.1-464-go-vert-9845385.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/09969/1.jpg?7818,"Apple iPhone 8 Plus - 4.7"" - 4G LTE - 64Go ROM - 2Go RAM - 12Mpx - Reconditionné - Rouge",170 500 FCFA,265 000 FCFA,www.jumia.sn/apple-iphone-8-plus-4.7-4g-lte-64go-rom-2go-ram-12mpx-reconditionne-rouge-9699067.html
