image,name,new-price,old-price,url
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/40289/1.jpg?0701,Fashion Ensemble De Glaçage Pour Les Lèvres I'mineral Premium,187 FCFA,367 FCFA,www.jumia.sn/fashion-ensemble-de-glacage-pour-les-levres-imineral-premium-9820427.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/40289/1.jpg?0701,Fashion Ensemble De Glaçage Pour Les Lèvres I'mineral Premium,374 FCFA,734 FCFA,www.jumia.sn/fashion-ensemble-de-glacage-pour-les-levres-imineral-premium-9820425.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/312001/1.jpg?7816,Generic Lèvres Roses - Premium  7 jours - Traitement,1 000 FCFA,5 000 FCFA,www.jumia.sn/generic-levres-roses-premium-7-jours-traitement-10021309.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/15289/1.jpg?3620,Generic Pack de 2 Lèvres Roses - 100% Naturelle -10gr,2 000 FCFA,5 000 FCFA,www.jumia.sn/generic-pack-de-2-levres-roses-100-naturelle-10gr-9825192.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/16706/1.jpg?8860,Generic Éponge Fond de Teint Blender 7 en 1 multicouleur,900 FCFA,,www.jumia.sn/eponge-fond-de-teint-blender-7-en-1-multicouleur-generic-mpg36317.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/323/1.jpg?6702,"Generic 5 Palettes de Poudre - 2 Marrons, 2 Claires et 1 Noir",1 990 FCFA,2 900 FCFA,www.jumia.sn/5-palettes-de-poudre-2-marrons-2-claires-et-1-noire-white-label-mpg6693.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/72799/1.jpg?5431,"Generic BIOAQUA – Gel de blanchiment des lèvres, crème de soin pour la peau du corps rose tendre, pour les parties intimes",2 700 FCFA,3 500 FCFA,www.jumia.sn/generic-bioaqua-gel-de-blanchiment-des-levres-creme-de-soin-pour-la-peau-du-corps-rose-tendre-pour-les-parties-intimes-9972752.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/892701/1.jpg?8119,Generic Kit De Sèche-ongles - Rose,11 990 FCFA,28 115 FCFA,www.jumia.sn/generic-kit-de-seche-ongles-rose-10729825.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/07099/1.jpg?2006,"Bioaoua Lèvre rose-Gel de blanchiment des lèvres, crème de soin pour la peau du corps",2 700 FCFA,5 500 FCFA,www.jumia.sn/bioaoua-levre-rose-gel-de-blanchiment-des-levres-creme-de-soin-pour-la-peau-du-corps-9907089.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/47279/1.jpg?9355,Generic Boite de rangement cosmétique - rotatif de 360 degré,8 990 FCFA,16 000 FCFA,www.jumia.sn/generic-boite-de-rangement-cosmetique-rotatif-de-360-degre-9727423.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/72899/1.jpg?6449,Topface Gloss à Lèvres Perfect Gleam de Focus Point - 105,4 070 FCFA,4 600 FCFA,www.jumia.sn/topface-gloss-a-levres-perfect-gleam-de-focus-point-105-9982772.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/56879/1.jpg?4069,L A Girl Pro Conceal HD - Correcteur Haute Définition - Marron Claire,990 FCFA,1 500 FCFA,www.jumia.sn/l-a-girl-pro-conceal-hd-correcteur-haute-definition-marron-claire-9786502.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/7211/1.jpg?2106,White Label Palette de Fard à Paupières - 12 Couleurs,3 900 FCFA,,www.jumia.sn/white-label-palette-de-fard-a-paupieres-12-couleurs-112700.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/61489/1.jpg?1603,Generic Baume Lévres Roses - 100% Naturelle,1 000 FCFA,5 000 FCFA,www.jumia.sn/baume-levres-roses-100-naturelle-generic-mpg32626.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/772711/1.jpg?5640,Generic Boite de Rangement de Produit Cosmétiques,8 000 FCFA,20 000 FCFA,www.jumia.sn/generic-boite-de-rangement-de-produit-cosmetiques-11727703.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/462/1.jpg?9927,Palette de Contouring pour Yeux - 7 en 1,2 290 FCFA,5 900 FCFA,www.jumia.sn/classic-palette-de-contouring-pour-yeux-7-en-1-26466.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/21379/1.jpg?2102,Lip & Co Lévres Roses - 100% Naturelle,1 300 FCFA,4 000 FCFA,www.jumia.sn/levres-roses-100-naturelle-lip-co-mpg36829.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/359/1.jpg?1766,"Generic Poudre de 5 Palettes pour Teint clair, Marron et Noir",2 200 FCFA,,www.jumia.sn/generic-poudre-de-5-palettes-pour-teint-clair-marron-et-noir-95357.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/15116/1.jpg?3748,Aichun Beauty Baume à Lèvres Lip Balm Fraise strawberry - 50 Gr,1 475 FCFA,,www.jumia.sn/baume-a-levres-lip-balm-fraise-strawberry-50-gr-aichun-beauty-mpg16685.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/88429/1.jpg?9967,Generic 240 pièces Faux ongles Mix - 10 Couleurs,6 500 FCFA,12 000 FCFA,www.jumia.sn/generic-240-pieces-faux-ongles-mix-10-couleurs-9248838.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/468511/1.jpg?8180,Generic Poudre Sacha Libre pour Makeup,2 200 FCFA,5 000 FCFA,www.jumia.sn/generic-poudre-sacha-libre-pour-makeup-11586480.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/71899/1.jpg?2630,Topface Vernis à Ongles Couleur Durable - PT104-006,2 990 FCFA,3 500 FCFA,www.jumia.sn/topface-vernis-a-ongles-couleur-durable-pt104-006-9981764.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/03999/1.jpg?2865,Generic Lèvres Roses - Premium  7 jours - Traitement,1 188 FCFA,2 500 FCFA,www.jumia.sn/generic-levres-roses-premium-7-jours-traitement-9993088.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/81899/1.jpg?2627,Topface Rouge à Lèvres Instyle Mat - 005,6 000 FCFA,6 700 FCFA,www.jumia.sn/topface-rouge-a-levres-instyle-mat-005-9981819.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/55706/1.jpg?9345,Generic Lévres Roses - 100% Naturelle -10gr,1 500 FCFA,5 000 FCFA,www.jumia.sn/generic-levres-roses-100-naturelle-10gr-6075539.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/13179/1.jpg?4945,Autre Mini Valisette de Far-24 Couleurs 4 Couleurs Blush 4 Lipgloss,2 890 FCFA,5 900 FCFA,www.jumia.sn/autre-mini-valisette-de-far-24-couleurs-4-couleurs-blush-4-lipgloss-9713123.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/9754/1.jpg?8306,White Label Pack Marqueur et Traceur Sourcils -Noir,1 890 FCFA,2 900 FCFA,www.jumia.sn/pack-marqueur-et-traceur-sourcils-noir-white-label-mpg38528.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/28989/1.jpg?3288,Generic Lèvres Roses - Premium  7 jours - Traitement,1 250 FCFA,5 000 FCFA,www.jumia.sn/levres-roses-premium-7-jours-traitement-generic-mpg45501.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/019201/1.jpg?9361,Generic Kit Nail Art Séchoir à Ongles Perceuse à Ongles Avec Accessoires,12 190 FCFA,21 480 FCFA,www.jumia.sn/generic-kit-nail-art-sechoir-a-ongles-perceuse-a-ongles-avec-accessoires-10291081.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/81899/1.jpg?2628,Topface Rouge à Lèvres Focus Point - 011,4 380 FCFA,5 000 FCFA,www.jumia.sn/topface-rouge-a-levres-focus-point-011-9981811.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/2634/1.jpg?9767,Generic Gel Eyeliner - Noir et Marron,1 490 FCFA,1 900 FCFA,www.jumia.sn/gel-eyeliner-noir-et-marron-generic-mpg9273.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/800401/1.jpg?2294,"Topface Stylo à col pour faux cils et  Eye-liner magique auto-adhésif,",3 000 FCFA,7 000 FCFA,www.jumia.sn/topface-stylo-a-col-pour-faux-cils-et-eye-liner-magique-auto-adhesif-10400890.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/67652/1.jpg?8616,Generic Appareil de Massage et Brosse Pour Visage 5 En 1 - Rose Blanc,2 900 FCFA,5 900 FCFA,www.jumia.sn/appareil-de-massage-et-brosse-pour-visage-5-en-1-rose-blanc-generic-mpg1295.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/12899/1.jpg?1648,Topface Crayon à Sourcils - Marron003,3 420 FCFA,3 900 FCFA,www.jumia.sn/topface-crayon-a-sourcils-marron003-9982143.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/45706/1.jpg?7651,Generic Lévres Roses - 100% Naturelle -10gr,1 250 FCFA,5 000 FCFA,www.jumia.sn/generic-levres-roses-100-naturelle-10gr-6075494.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/641501/1.jpg?8981,Generic Pack de 2 Lèvres Roses - 100% Naturelle -10gr,2 500 FCFA,5 000 FCFA,www.jumia.sn/generic-pack-de-2-levres-roses-100-naturelle-10gr-10514619.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/37964/1.jpg?4763,L A Girl Pro Conceal HD - Correcteur Haute Définition - Marron,990 FCFA,1 500 FCFA,www.jumia.sn/pro-conceal-hd-correcteur-haute-definition-marron-l-a-girl-mpg13837.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/318101/1.jpg?3441,"Bioaoua BIOAQUA– Gel de blanchiment des lèvres, crème de soin pour la peau du corps rose tendre, pour les parties intimes",2 800 FCFA,8 500 FCFA,www.jumia.sn/bioaoua-bioaqua-gel-de-blanchiment-des-levres-creme-de-soin-pour-la-peau-du-corps-rose-tendre-pour-les-parties-intimes-10181370.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/75149/1.jpg?8211,Generic Pack make up complet  - 1 pack make up - Teint Noir,8 750 FCFA,10 000 FCFA,www.jumia.sn/generic-pack-make-up-complet-1-pack-make-up-teint-noir-9415799.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/80769/1.jpg?7311,Maybelline New York Fard à Paupières -Color Strike - Hustle (50),2 700 FCFA,3 580 FCFA,www.jumia.sn/maybelline-new-york-fard-a-paupieres-color-strike-hustle-50-9670878.html
