image,name,new-price,old-price,url
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/514001/1.jpg?0408,Generic USB Flash Drive 64GB Pendrive Flash. Drive USB 2.0 Metal Write speed above 16M,2 980 FCFA,5 000 FCFA,www.jumia.sn/generic-usb-flash-drive-64gb-pendrive-flash.-drive-usb-2.0-metal-write-speed-above-16m-10041527.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/44999/1.jpg?8228,Generic Clé USB OTG 128 Go Micro USB Type C Noir +3 cadeau gratuit,4 950 FCFA,8 431 FCFA,www.jumia.sn/generic-cle-usb-otg-128-go-micro-usb-type-c-noir-3-cadeau-gratuit-9994425.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/16888/1.jpg?4356,White Label Support ordinateur pliable portatif,3 200 FCFA,12 000 FCFA,www.jumia.sn/support-ordinateur-pliable-portatif-white-label-mpg38731.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/50289/1.jpg?0709,Fashion Sac à Dos D'affaires Pour Hommes 3 Pièces Noir,6 800 FCFA,11 988 FCFA,www.jumia.sn/fashion-sac-a-dos-daffaires-pour-hommes-3-pieces-noir-9820587.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/024501/1.jpg?3418,Generic Clé USB 64GB Metal étanche 3D Embossé,3 250 FCFA,4 929 FCFA,www.jumia.sn/generic-cle-usb-64gb-metal-etanche-3d-embosse-10542040.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/74879/1.jpg?3247,Samsung Clé - USB - 64GB - 130 Mb/s Ultra Rapide - Argent,5 000 FCFA,8 824 FCFA,www.jumia.sn/samsung-cle-usb-64gb-130-mbs-ultra-rapide-argent-9784713.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/119201/1.jpg?9366,Generic Lot De 3 Sacs Pour Sac A Dos - Port De Charge USB - Noir,6 300 FCFA,11 988 FCFA,www.jumia.sn/generic-lot-de-3-sacs-pour-sac-a-dos-port-de-charge-usb-noir-10291177.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/36019/1.jpg?0918,Generic Clé USB Micro Android OTG - 64GB,4 400 FCFA,8 627 FCFA,www.jumia.sn/generic-cle-usb-micro-android-otg-64gb-9106399.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/514001/1.jpg?6738,Generic Clé USB 2.0 - 32GB -- Argent,2 690 FCFA,5 196 FCFA,www.jumia.sn/generic-cle-usb-2.0-32gb-argent-10041555.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/338001/1.jpg?1159,"Lenovo Ideapad V15 - 1000Go Stockage - 4Go RAM - 15,6"" - Dual Core",182 500 FCFA,280 000 FCFA,www.jumia.sn/lenovo-ideapad-v15-1000go-stockage-4go-ram-156-dual-core-10083304.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/551401/1.jpg?3655,Generic Stylo à bille USB Flash Drive 128 Go OTG + micro USB + Type C rose,3 990 FCFA,6 990 FCFA,www.jumia.sn/generic-stylo-a-bille-usb-flash-drive-128-go-otg-micro-usb-type-c-rose-10415541.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/906001/1.jpg?3231,Music Pioneer Clé USB 3.0 Haute Vitesse 64Go Métal OTG,3 500 FCFA,6 900 FCFA,www.jumia.sn/music-pioneer-cle-usb-3.0-haute-vitesse-64go-metal-otg-10060997.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/514001/1.jpg?6738,Generic Clé USB Micro Android OTG - -64GB-Noir,7 990 FCFA,,www.jumia.sn/generic-cle-usb-micro-android-otg-64gb-noir-10041549.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/551401/1.jpg?3644,Generic Stylo à bille USB Flash Drive 128 Go OTG + micro USB + Type C blank,4 550 FCFA,6 990 FCFA,www.jumia.sn/generic-stylo-a-bille-usb-flash-drive-128-go-otg-micro-usb-type-c-blank-10415544.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/50306/1.jpg?3574,Generic Housse pour ordinateur portable Housse pour tablette PC Housse pour ordinateur portable ENVY / PAVILION / SPECTRE / EliteBook cadeau- Gris,6 490 FCFA,14 902 FCFA,www.jumia.sn/generic-housse-pour-ordinateur-portable-housse-pour-tablette-pc-housse-pour-ordinateur-portable-envy-pavilion-spectre-elitebook-cadeau-gris-6030531.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/21489/1.jpg?4539,Generic Stylo à bille USB Flash Drive 128 Go OTG + micro USB + Type C noir,4 090 FCFA,7 990 FCFA,www.jumia.sn/generic-stylo-a-bille-usb-flash-drive-128-go-otg-micro-usb-type-c-noir-9841284.html
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/49939/1.jpg?0988,"Hp Laptop 15dw - 15.6"" - 1000Go - 4 Go RAM - Dual Core - Gris",199 900 FCFA,260 000 FCFA,www.jumia.sn/hp-laptop-15dw-15.6-1000go-4-go-ram-dual-core-gris-9399472.html
