image,name,new-price,old-price
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/94489/1.jpg?1050,Astech Réfrigérateur - Astech - 2 Portes - Gris - 138 Litres - A+ - Garantie 12 Mois,146 900 FCFA,155 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/08579/1.jpg?6217,SMART TECHNOLOGY Réfrigérateur Combiné 127 Litres - Argenté - STCB-185H - Garantie 12 Mois - Classe A+,135 900 FCFA,200 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449,SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - STR-90H - Garantie 12 Mois,76 950 FCFA,92 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/06888/1.jpg?5257,SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 53 Litres - Gris - STR-99H - Garantie 12 Mois,84 400 FCFA,109 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/06888/1.jpg?9907,SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 100 Litres - Gris - STR-135H-Garantie 12 Mois,95 700 FCFA,130 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/06888/1.jpg?6089,SMART TECHNOLOGY Réfrigérateur 2 Portes 225 Litres - Argenté- STR-344H - Garantie 12 Mois - Classe A+,172 400 FCFA,310 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/736611/1.jpg?7457,SMART TECHNOLOGY Mini Réfrigérateur - STR-67H - 50 L - Argent - Garantie 12 Mois,58 750 FCFA,75 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/141501/1.jpg?2113,Astech Réfrigérateur Combiné 3 Tiroirs - 162 Litres - Gris - Garantie 1 an - Classe A+,183 750 FCFA,210 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/06888/1.jpg?6090,SMART TECHNOLOGY Réfrigérateur Combiné 229 Litres - Argenté - STCB-322H- Garantie 12 Mois,206 500 FCFA,300 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/141501/1.jpg?2114,Astech Réfrigérateur Bar 1 Porte 90 Litres - Gris,83 750 FCFA,95 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/39599/1.jpg?3591,Hisense Réfrigérateur 2 Portes 270 Litres - RD-35DR4SA - Classe A+ Gris - Garantie 12 Mois,235 000 FCFA,270 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/141501/1.jpg?0459,Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,104 300 FCFA,110 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/141501/1.jpg?2115,Deska Réfrigérateur bar 2 portes TF 95 CZ,92 900 FCFA,100 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/923711/1.jpg?7828,Enduro Réfrigérateur Combiné Defrost 2 tiroirs - 118 litres - RCD150S - Classe A++,158 200 FCFA,250 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/923711/1.jpg?7828,Enduro Réfrigérateur Bar - 90 litres - FB90S - Classe A++,89 500 FCFA,200 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/872401/1.jpg?5422,Roch Réfrigérateur Combiné 170 Litres - 2 Portes-RFR-170DB-A - Garantie 12Mois,161 100 FCFA,175 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/08089/1.jpg?3495,SMART TECHNOLOGY Réfrigérateur Combiné 254 Litres - STCB-304M - Garantie 12 Mois,229 300 FCFA,300 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/872401/1.jpg?1768,Roch Réfrigérateur Combiné 150 Litres - RFR-150DB-L - Garantie 12 Mois - Classe A+,161 200 FCFA,175 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/923711/1.jpg?5515,Enduro Réfrigérateur 200  Litres -2 Portes - RDST200S -Garantie 12 Mois -Classe A,161 200 FCFA,280 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/581401/1.jpg?2071,SMART TECHNOLOGY Réfrigérateur Combiné - STCB-303M- 231 L - Argent - 12 Mois Garantie,212 500 FCFA,300 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/41649/1.jpg?8685,Sharp Réfrigérateur Bar 90 Litres - Argenté - Garantie 12 Mois - Classe A,109 900 FCFA,150 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/39599/1.jpg?3625,Hisense Réfrigérateur 2 Portes - 165 Litres - RD-22DR4SA - Garantie 1 an - Classe A+,195 900 FCFA,207 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/891501/1.jpg?7655,SMART TECHNOLOGY Réfrigérateur side by side- STR-857H - 445L - Gris - Garantie 12 Mois,513 500 FCFA,520 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/62799/1.jpg?7415,Samsung Réfrigérateur 255 Litres - Gris - Garantie 24 Mois - Classe A+,259 200 FCFA,
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/872401/1.jpg?1768,Roch Réfrigérateur Combiné 265 Litres - RFR-265BD-B - Garantie 12 Mois - Classe A+,291 750 FCFA,305 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/79599/1.jpg?4026,Hisense Réfrigérateur Combiné 223 Litres - 3 Tiroirs - RD-29DC4SA - Gris,273 000 FCFA,305 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/872401/1.jpg?5424,Sharp Réfrigérateur 195 Litres - 2 Portes - RFR-195DT-A - Argenté - Garantie 12 Mois,183 750 FCFA,195 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/69619/1.jpg?5719,Beko - Réfrigérateur - RCSA420SX - Combiné - 3 Tiroirs 366L - Argent,345 000 FCFA,500 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/872401/1.jpg?1769,Roch Réfrigérateur Combiné 310 Litres - RFR-310DBD - Garantie 12 Mois - Classe A+,297 500 FCFA,310 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/87099/1.jpg?0459,C.A.C – Réfrigérateur Combiné 2 tiroirs 160 litres - Garantie 12 Mois -CAC160RB,149 900 FCFA,235 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/68749/1.jpg?8686,Sharp Réfrigérateur 157 Litres - 1 Porte - SJ-X210MG-DB2 - Noir,155 500 FCFA,190 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/23999/1.jpg?0481,Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,129 600 FCFA,250 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/819/1.jpg?5315,Astech Réfrigérateur Mini Bar - Astech -  Garantie 12 Mois - Gris,75 900 FCFA,100 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/202501/1.jpg?2668,Astech Réfrigérateur Combiné 2 Tiroirs 155 Litres - FC155S - Gris - Classe A+,149 700 FCFA,170 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/86489/1.jpg?8685,Roch Réfrigérateur combiné RFR-155DB-J - 142L - 2 tiroirs.,161 200 FCFA,190 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/20999/1.jpg?8211,Roch Réfrigérateur Roch - RFR - 120S-J- 102L - Garantie 12 Mois,115 000 FCFA,145 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/202501/1.jpg?2668,Astech Réfrigérateur Combiné 4 Tiroirs 247 Litres - FC280VT - Blanc - Classe A+,246 250 FCFA,275 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/525701/1.jpg?2851,Astech Réfrigérateur Mini Bar - Astech -  50 Litres - Garantie 12 Mois - Gris,75 800 FCFA,100 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/872401/1.jpg?1770,Roch Réfrigérateur Combiné 190 Litres - RFR-190DB-L - Garantie 12 Mois - Classe A+,206 490 FCFA,220 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/79599/1.jpg?4124,Hisense Réfrigérateur Combiné 268 Litres - 3 Tiroirs - RD-35DC4SA - Gris,304 000 FCFA,350 000 FCFA
